timestamp,Cockatoo_health_Ashlie,airTemperature,anomaly,heuristic_trigger
2016-05-29 14:00:00,0.1138642454661679,32.8,-1,True
2016-05-29 15:00:00,0.11615564183910222,32.8,-1,True
2016-06-27 14:00:00,0.11433943368530707,33.3,-1,True
2016-06-27 15:00:00,0.11871821582461291,33.3,-1,True
2016-06-27 16:00:00,0.12023066906577017,28.3,-1,True
2016-06-27 17:00:00,0.11923178180785074,29.4,1,True
2016-06-27 18:00:00,0.11808191675742222,30.0,1,True
2016-06-27 19:00:00,0.11603198541597612,28.9,1,True
2016-06-27 20:00:00,0.11539419480089018,28.3,1,True
2016-06-27 21:00:00,0.11377072778067143,27.2,1,True
2016-07-05 13:00:00,0.11625221364647946,33.9,-1,True
2016-07-05 14:00:00,0.1137740660069132,34.4,-1,True
2016-07-05 18:00:00,0.11413776693972252,33.9,-1,True
2016-07-06 10:00:00,0.11658293479804914,31.1,1,True
2016-07-06 13:00:00,0.11489919030257113,35.0,-1,True
2016-07-06 14:00:00,0.11514647947345992,34.4,-1,True
2016-07-06 15:00:00,0.11747952081064443,34.4,-1,True
2016-07-06 16:00:00,0.11956316586959609,33.9,-1,True
2016-07-06 17:00:00,0.11501851413419195,32.2,1,True
2016-07-06 18:00:00,0.11936815190113167,32.2,-1,True
2016-07-06 19:00:00,0.11637736161750083,31.1,1,True
2016-07-07 09:00:00,0.11549079028363085,30.6,1,True
2016-07-07 10:00:00,0.12087470997679814,31.7,-1,True
2016-07-07 11:00:00,0.12283955206212414,32.2,-1,True
2016-07-07 12:00:00,0.12318149533595339,33.9,-1,True
2016-07-07 13:00:00,0.12381637388133906,34.4,-1,True
2016-07-07 14:00:00,0.12572685733226005,34.4,-1,True
2016-07-07 15:00:00,0.12414868128225767,35.0,-1,True
2016-07-07 16:00:00,0.12583950471139732,35.0,-1,True
2016-07-07 17:00:00,0.1242365168805341,32.8,-1,True
2016-07-07 18:00:00,0.12386893318812442,32.2,-1,True
2016-07-07 19:00:00,0.12390340451725934,31.1,-1,True
2016-07-07 20:00:00,0.1180440361759553,30.0,1,True
2016-07-07 21:00:00,0.11849547800558738,29.4,1,True
