timestamp,Cockatoo_health_Ashlie,airTemperature,anomaly
2016-01-01 00:00:00,0.048840475401297406,19.4,1
2016-01-01 01:00:00,0.04714160234859605,21.1,1
2016-01-01 02:00:00,0.04946171693735499,21.1,1
2016-01-01 03:00:00,0.04806082200861783,20.6,1
2016-01-01 04:00:00,0.04851176665561816,21.1,1
2016-01-01 05:00:00,0.04629397698754675,21.1,1
2016-01-01 06:00:00,0.04828145272029925,20.6,1
2016-01-01 07:00:00,0.05087899521757659,18.9,1
2016-01-01 08:00:00,0.049380439414745014,20.0,1
2016-01-01 09:00:00,0.046434869075240304,21.7,1
2016-01-01 10:00:00,0.04787937402339126,23.9,1
2016-01-01 11:00:00,0.05038474833088688,26.1,1
2016-01-01 12:00:00,0.04867728112126521,26.7,1
2016-01-01 13:00:00,0.049573535678772665,27.8,1
2016-01-01 14:00:00,0.04782193759174203,28.3,1
2016-01-01 15:00:00,0.046370164307022115,28.3,1
2016-01-01 16:00:00,0.04574861499124012,27.8,1
2016-01-01 17:00:00,0.04555253563142194,26.7,1
2016-01-01 18:00:00,0.04500949382073015,25.6,1
2016-01-01 19:00:00,0.04458885363890335,24.4,1
2016-01-01 20:00:00,0.04384405038117335,23.9,1
2016-01-01 21:00:00,0.04020206922676263,22.2,1
2016-01-01 22:00:00,0.03923081111795066,21.1,1
2016-01-01 23:00:00,0.04641912495856811,20.6,1
2016-01-02 00:00:00,0.04789104597755575,19.4,1
2016-01-02 01:00:00,0.044572517638145744,18.9,1
2016-01-02 02:00:00,0.04226980444149817,18.9,1
2016-01-02 03:00:00,0.0402857379610777,18.9,1
2016-01-02 04:00:00,0.04481298830437047,18.3,1
2016-01-02 05:00:00,0.047031346181163884,18.9,1
2016-01-02 06:00:00,0.04212384582603343,16.7,1
2016-01-02 07:00:00,0.04569906245560869,15.6,1
2016-01-02 08:00:00,0.044744116672190914,15.0,1
2016-01-02 09:00:00,0.04307938349353662,16.1,1
2016-01-02 10:00:00,0.049465789099862684,17.2,1
2016-01-02 11:00:00,0.04466120554950518,17.8,1
2016-01-02 12:00:00,0.04668447843174393,19.4,1
2016-01-02 13:00:00,0.04325713812207017,20.6,1
2016-01-02 14:00:00,0.04628374923055069,22.2,1
2016-01-02 15:00:00,0.04978867370614139,22.8,1
2016-01-02 16:00:00,0.04637033003456603,21.1,1
2016-01-02 17:00:00,0.04424371419101283,20.0,1
2016-01-02 18:00:00,0.045091742033240206,18.9,1
2016-01-02 19:00:00,0.04701645437757469,17.8,1
2016-01-02 20:00:00,0.04349010369809177,16.7,1
2016-01-02 21:00:00,0.04127439746200104,16.7,1
2016-01-02 22:00:00,0.045680074814148396,16.1,1
2016-01-02 23:00:00,0.04269652919172309,16.7,1
2016-01-03 00:00:00,0.04542696150385908,15.6,1
2016-01-03 01:00:00,0.04330709313887968,15.6,1
2016-01-03 02:00:00,0.041277972441876976,15.0,1
2016-01-03 03:00:00,0.04527617311425731,15.0,1
2016-01-03 04:00:00,0.040596903262465074,15.0,1
2016-01-03 05:00:00,0.04651138784980349,14.4,1
2016-01-03 06:00:00,0.04204590652966523,14.4,1
2016-01-03 07:00:00,0.0719112410625503,14.4,1
2016-01-03 08:00:00,0.06994999763246365,14.4,1
2016-01-03 09:00:00,0.0715634499739571,13.3,-1
2016-01-03 10:00:00,0.07191365594961882,13.3,-1
2016-01-03 11:00:00,0.0710983474596335,13.3,-1
2016-01-03 12:00:00,0.07195828400965955,13.3,-1
2016-01-03 13:00:00,0.07354420190349922,14.4,1
2016-01-03 14:00:00,0.07176577962971731,15.0,1
2016-01-03 15:00:00,0.07187710118850324,14.4,1
2016-01-03 16:00:00,0.07393027605473744,14.4,1
2016-01-03 17:00:00,0.0725163123253942,13.9,1
2016-01-03 18:00:00,0.07069520337137175,12.8,-1
2016-01-03 19:00:00,0.07005208579951702,12.2,-1
2016-01-03 20:00:00,0.0696543396941143,11.7,-1
2016-01-03 21:00:00,0.04729629717316161,11.1,1
2016-01-03 22:00:00,0.04177373455182537,11.1,1
2016-01-03 23:00:00,0.042219683697144746,9.4,-1
2016-01-04 00:00:00,0.04372581561626971,10.6,1
2016-01-04 01:00:00,0.04277629149107439,10.0,-1
2016-01-04 02:00:00,0.03991971684265353,10.0,-1
2016-01-04 03:00:00,0.0370755480846631,10.6,1
2016-01-04 04:00:00,0.03699187935034803,10.6,1
2016-01-04 05:00:00,0.03620311094275297,10.0,1
2016-01-04 06:00:00,0.037938396704389414,10.0,-1
2016-01-04 07:00:00,0.056499810597092665,9.4,-1
2016-01-04 08:00:00,0.0479027889578105,8.9,-1
2016-01-04 09:00:00,0.044533050807329895,11.1,1
2016-01-04 10:00:00,0.04313116151332923,13.3,1
